year,date,exam_type,subject,question_no,question,option_A,option_B,option_C,option_D,correct_answers,notes,_場次
110,2021/11/6,保健食品初級工程師,保健食品概論,1,"何者非向衛生福利部申請國產維生素類錠狀膠囊狀食品查驗登記之審查資料表之必填資
料？ a.產品中文名稱 b.產品外文外稱 c.產品製程 d.產品包裝工廠名稱",ab,bd,ac,cd,B,,第二次
110,2021/10/2,保健食品初級工程師,保健食品概論,1,"食品中添加「矽酸鈣」作為品質改良劑時，使用限量為 2%以下，下列何者符合規定？ 
a.膠囊每顆500 mg中含有矽酸鈣 10 mg b.每150 kg食品中含有矽酸鈣 3 kg c.500顆錠
狀食品（每顆200 mg）總計含有矽酸鈣 20 g d.每25 kg食品中含有矽酸鈣 550 g",abcd,abc,abd,ab,D,答案有更正,第一次
110,2021/11/6,保健食品初級工程師,保健食品概論,2,"特殊營養食品中之特定疾病配方食品除一般包裝食品規定標示事項外，應另標示以下何
項？ a.適用對象 b.產品可以改善何種疾病 c.「本品屬特定疾病配方食品，不適合一般
人食用，須經醫師或營養師指導使用」或等同意義之詞句 d.產品中所含特殊營養素之生
理功能",ab,cd,ac,bd,C,,第二次
110,2021/10/2,保健食品初級工程師,保健食品概論,2,國內對食品原料輔酵素 Q10的使用限制及標示規定，何者為非？,每日食用限量 30毫克,15歲以下小孩不宜食用，且需標示,懷孕或哺乳期間婦女不宜食用，且需標示,服用抗凝血藥品病患可酌量食用,D,,第一次
110,2021/11/6,保健食品初級工程師,保健食品概論,3,申請健康食品查驗的產品，對其保健功效評估報告的審查，何為為非？,試驗產品應是申請的最終產品,人體食用研究者應有人體研究倫理審查委員會同意書,動物實驗應有試驗執行機構之實驗動物照護及使用委員會或小組同意書,應有二批結果報告，其中至少一批檢驗完成日期需在三年內,D,,第二次
110,2021/10/2,保健食品初級工程師,保健食品概論,3,申請健康食品查驗的產品，對其保健功效評估報告的審查，何者為非？,試驗產品應是申請的最終產品,人體食用研究者應有人體研究倫理審查委員會同意書,動物實驗應有試驗執行機構之實驗動物照護及使用委員會或小組同意書,應有二批結果報告，其中至少一批檢驗完成日期需在三年內,D,,第一次
110,2021/11/6,保健食品初級工程師,保健食品概論,4,我國最早可供外銷的保健食品品項為何？,乳酸菌,紅麴,綠藻,雞精,C,,第二次
110,2021/10/2,保健食品初級工程師,保健食品概論,4,健康食品查驗登記新案申請案審核為應送驗確認者之後續，何者錯誤？,"經中央主管機關通知後應於一個月內依通知函說明事項，向地方政府衛生局送交產
品樣品",應繳納檢驗費,應送繳原裝完整樣品檢體,"逾期未將檢體送驗者，其申請案得逕予否准 
Aor",A,,第一次
110,2021/11/6,保健食品初級工程師,保健食品概論,5,目前以膠原蛋白為主原料並通過健康食品認證之產品，其主要訴求功效為何？,骨質保健,美白保濕,延緩衰老,輔助調整過敏體質 ,A,,第二次
110,2021/10/2,保健食品初級工程師,保健食品概論,5,依健康食品管理法申請健康食品查驗登記（個案審查）新案之規定，何者錯誤？,"申請案初審為資料不完整者，經通知後應於二個月內補送必要之文件資料。必要
時，得申請延長一個月",經通知補送必要之文件資料，逾期未補送完整者，其申請案得逕予否准,"經初審通過者，應於初審通過通知送達之次日起一個月內，並依通知指定之份數，
檢送經補正後之完整文件資料影本至中央衛生主管機關，免繳審查費","每件申請案產品每次僅受理乙項保健功效之查驗登記 
 
 
","A,C",答案有更正,第一次
